,0
0,"CĐV SC Heerenveen  HLV Jansen thật bảo thủ, hãy cho Đoàn Văn Hậu đá chính.txt"
1,Cựu trợ lý thầy Park   U23 Việt Nam gặp khó vì thiếu kiểu cầu thủ như cậu ấy.txt
2,"VCK U23 châu Á  Những “cơn địa chấn”, một mình Hàn Quốc đấu các đội Tây Á.txt"
3,Báo Thái Lan   Đoàn Văn Hậu sẽ là hậu vệ số 1 châu Á.txt
4,"Đấu Thanh Hóa, TP.HCM kỳ vọng vào ngoại binh “khủng” nhất V League.txt"
5,"Báo châu Á  Dính nghi án tiêu cực, sao U23 Việt Nam khó thoát án phạt nặng.txt"
6,"Bùi Tiến Dũng đã cười, nhưng thầy Park thì chưa.txt"
7,Vì sao Công Phượng và đồng đội bị CLB Hà Nội đè bẹp 3 0.txt
8,"Tuyển Việt Nam  Xong bài toán Trọng Hoàng, nhưng Văn Hậu thì chưa.txt"
9,Xót xa hình ảnh thầy Park ôm đầu trước nguy kịch của Việt Nam.txt
10,"Trở lại Việt Nam, thầy Park đi xem cuộc tỷ thí giữa Quang Hải và Công Phượng.txt"
11,Số phận chưa bắt Bùi Tiến Dũng và Tấn Trường phải hết thời.txt
12,HLV Phạm Minh Đức   Tuấn Anh   Xuân Trường thua kém 2 cầu thủ của Hà Tĩnh.txt
13,Tuấn Anh háo hức đối đầu với Quả bóng vàng Đỗ Hùng Dũng.txt
14,"Lượt 15 giải futsal VĐQG   Thua tuyệt đối về thể lực, SS.KH đại bại trước Sahako.txt"
15,"HLV Park Hang seo lên tiếng, lý giải việc gọi đến 48 cầu thủ lên U22 Việt Nam.txt"
16,Sao Việt kiều   Lẽ ra Đoàn Văn Hậu không nên đến Hà Lan chơi bóng.txt
17,"Tuyển Việt Nam nuôi mộng World Cup, còn người Thái Lan làm lại từ AFF Cup.txt"
18,"SLNA muốn dừng V League, trao cúp vô địch cho Sài Gòn.txt"
19,"Sau Geovane, CLB Hà Nội rục rịch kích nổ bom tấn đến từ Viettel.txt"
20,"Heerenveen chạm trán Venlo, Đoàn Văn Hậu lần đầu đá chính.txt"
21,Xác định  quân xanh  chất lượng của U22 Việt Nam vào buổi tập 27 8.txt
22,Báo Indonesia  than trời  vì AFF Cup bị dời sang năm 2021.txt
23,"Thay máu ngoại binh, SLNA sắp chào đón  bom xịt  HAGL.txt"
24,"Sao Hàn Quốc  hóa  Messi, tạo siêu phẩm gây sốc trước U23 Jordan.txt"
25,"Sếp lớn LĐBĐ Nhật Bản nổi xung, muốn  khai tử  HLV Moriyasu và lứa U23.txt"
26,"Thua tan tát, HLV Bahrain nói thật lòng về sức mạnh của U23 Thái Lan.txt"
27,"Mù quáng tin vào thứ bóng đá không tưởng, người Thái tiêu tan giấc mơ Olympic.txt"
28,"VPF lên kế hoạch, chốt 2 phương án cho mùa giải trở lại.txt"
29,HLV Anh  Ông Park không nên gọi Quang Hải dự VCK U23 châu Á.txt
30,HLV Đức Thắng   Cậu ấy xứng đáng có 1 suất ở U22 Việt Nam.txt
31,"HAGL lên hương, bầu Đức... trả nợ đi chứ.txt"
32,HAGL thua Nam Định vì sai lầm chiến lược.txt
33,Vòng 1 8 Cúp Quốc gia 2020  HLV Park Hang seo và những nụ cười.txt
34,"Bùi Tiến Dũng mắc sai lầm, đến LĐBĐ Châu Á cũng không chịu nổi.txt"
35,CLB Thanh Hóa đòi bỏ V League là thiếu trách nhiệm.txt
36,CLB Hà Nội hy vọng SC Heerenveen làm 1 điều cho Đoàn Văn Hậu.txt
37,Bầu Đức lên tiếng về tương lai Công Phượng tại CLB TP.HCM sau dịch COVID 19.txt
38,TRỰC TIẾP U23 Việt Nam 1 2 U23 Triều Tiên (Kết thúc)  U23 Việt Nam dừng bước.txt
39,"Ngô Hoàng Anh lập siêu phẩm đá phạt, CLB Long An vẫn trắng tay trước Đắk Lắk.txt"
40,"Đội hình ra sân U23 Việt Nam đấu Jordan   Người sắt ,  Linh phá đội  góp mặt.txt"
41,"Tuyển Việt Nam chốt chỉ tiêu  Giờ thì khó rồi, thầy Park.txt"
42,"V League đảo chiều, vì sao bầu Đức chưa phất cờ.txt"
43,HAGL thua trắng Nam Định  Bầu Đức lại khó ăn nói....txt
44,Thực hư việc HLV Hải Phòng từ chức sau thất bại trước đại diện Hạng Nhất.txt
45,"Báo Thái  CLB V League bỏ ra 13 tỷ đồng, muốn chiêu mộ  Iniesta Thái Lan.txt"
46,Tại sao các CLB V League phân hóa vì phương án  lạ  của VPF.txt
47,"Vì sao HAGL bị CLB Hà Nội đè bẹp, Tuấn Anh im tiếng.txt"
48,Báo Indonesia choáng ngợp trước phong độ chói sáng của  hàng thải  V League.txt
49,Đoàn Văn Hậu sẽ được SC Heerenveen giữ lại vì....txt
50,"Sau Huy Toàn, CLB TP.HCM tiếp tục nhận tin không vui từ Công Phượng.txt"
51,Trưởng ban trọng tài VFF  Trọng tài Việt Nam vẫn còn nhiều sai sót.txt
52,"HAGL gặp khó, sao không gọi Công Phượng trở về.txt"
53,CLB TP.HCM chốt phương án giảm lương cho Công Phượng và các đồng đội.txt
54,Sao Việt kiều   Đó là điểm vượt trội của Filip Nguyễn so với Đặng Văn Lâm.txt
55,"U23 Australia đại chiến Uzbekistan  Ai cười, ai khóc.txt"
56,Đoàn Văn Hậu lên trang chủ FIFA  Từ quả bóng  bưởi  đến giấc mơ World Cup.txt
57,"Thêm 1 trụ cột hàng thủ gặp vấn đề sức khoẻ, thầy Park có lo lắng.txt"
58,Nếu Jordan có điều đó thì Đình Trọng vào cũng không làm được gì.txt
59,"Tuyển Việt Nam  Đình Trọng báo tin vui, thầy Park chưa thể mừng.txt"
60,Sao U23 Việt Nam  Cả đội nín thở khi trọng tài rút lại quả phạt đền của UAE.txt
61,Trang chủ AFC nói 1 sự thật về tài năng của  Iniesta đất Mỏ.txt
62,HAGL  chi viện  sao mai U22 Việt Nam cho Đồng Tháp.txt
63,"Filip Nguyễn báo tin vui cho thầy Park, vẫn chờ cơ hội khoác áo ĐT Việt Nam.txt"
64,BLV Quang Huy   HAGL rất hay nhưng vẫn khó có điểm trước CLB Hà Nội.txt
65,"Sao U19 Việt Nam   Ở HAGL, Tuấn Anh là thần tượng của tôi.txt"
66,"SC Heerenveen  tiễn  hàng loạt cầu thủ, tương lai Đoàn Văn Hậu bị đe doạ.txt"
67,FIFA điều chỉnh thời điểm ĐT Việt Nam thi đấu vòng loại World Cup 2022.txt
68,"CHÍNH THỨC   Hút máu  Khánh Hòa, CLB TP.HCM đón thêm 3 tân binh chất lượng.txt"
69,"Chấn thương trở nặng, Đoàn Văn Hậu phải dưỡng thương 3 tháng.txt"
70,Sếp lớn VFF nói gì về việc “tẩy thẻ” cho Trọng Hoàng và Đình Trọng.txt
71,"Sau vụ lùm xùm vì hacker, Quang Hải sánh vai Huỳnh Anh đi cầu an.txt"
72,Báo Thái choáng ngợp trước mức lương CLB TP.HCM dành cho Công Phượng.txt
73,Tuấn Anh và HAGL bớt ngây thơ.txt
74,"Lượt 11 giải futsal VĐQG   Ngọc Sơn, Tuấn Thành tỏa sáng, Cao Bằng bại trận bởi người quen.txt"
75,HLV Miura   Cậu ấy là hậu vệ xuất chúng ở ĐT Việt Nam tôi từng dẫn dắt.txt
76,"Đội sổ  sau vòng 5, HLV DNH Nam Định chỉ ra nguyên nhân thất bại.txt"
77,"SỐC HLV Phố Hiến bóp cổ, dí cùi chỏ vào cầu thủ An Giang.txt"
78,Trang chủ AFC  Việt Nam có thể nghĩ về chức vô địch U23 châu Á 2020.txt
79,"Báo Trung Quốc  Đây, điều khiến U23 Việt Nam đáng khâm phục ở trận UAE.txt"
80,HLV Park Hang seo “tiếp sức” cho cuộc chiến chống dịch Covid 19.txt
81,Sao HAGL   Tôi là trung vệ hàng đầu tại V League.txt
82,"Được chi viện đến 9 cầu thủ HAGL, CAND vẫn lỡ hẹn với Hạng Nhất 2021.txt"
83,"Bị nợ lương từ đầu mùa, các cầu thủ Khánh Hoà đồng loạt bỏ tập.txt"
84,3 điểm sáng của U23 Việt Nam tại VCK U23 châu Á  Những đôi chân trở lại mặt đất.txt
85,"Lo sợ dịch cúm Corona, LĐBĐ Iraq muốn cậy nhờ 1 điều từ Việt Nam.txt"
86,3 quyết định bất ngờ của HLV Park Hang seo trận gặp UAE.txt
87,Báo Thái  Công Phượng hay Văn Hậu cũng đều thất bại khi sang châu Âu.txt
88,"Được đi châu Âu, Văn Hậu đã khác biệt phần còn lại của Đông Nam Á.txt"
89,CLB TP.HCM sắp cho trình làng 2  bom tấn  triệu đô từ Costa Rica.txt
90,"HLV Jordan đọc vị U23 Việt Nam, nói thẳng về sức mạnh của Rồng vàng.txt"
91,CHÍNH THỨC  SHB Đà Nẵng chiêu mộ thành công “trò cưng” thầy Park từ Quảng Nam.txt
92,CHÍNH THỨC  HLV Park Hang seo triệu tập 36 cầu thủ cho ĐT Việt Nam.txt
93,HAGL mất chân sút số 1 vào tay CLB Thanh Hóa.txt
94,Báo châu Á thán phục 1 cái tên của U23 Việt Nam trong trận hoà UAE.txt
95,Chính rào cản ấy khiến Văn Hậu chưa được đón nhận tại SC Heerenveen.txt
96,AFF Cup 2020 dễ hoãn vì Covid 19  Vì đâu thầy Park tái mặt.txt
97,AFC Cup  Chờ xem “Ronaldo” Phi Sơn và “Messi” Công Phượng tỏa sáng.txt
98,Hai thủ môn đội tuyển để thủng lưới 11 bàn ở V League.txt
99,Cựu sao Ngoại hạng Anh   Việt Nam đang tiệm cận đẳng cấp của Nhật Bản.txt
100,"Báo Indonesia  Không có cái tên ấy, sức mạnh của ĐT Việt Nam sẽ giảm đi ít nhiều.txt"
